job_name,company_name,location,city,district,salary,salary_min,salary_max,salary_unit,salary_count,job_type,employment_type,experience_requirement,education_requirement,platform,source_job_id,source_keyword,jd_url,jd_content,job_description,job_requirement,job_tags,skill_tags,company_industry,company_stage,company_size,welfare_tags,publish_date,crawl_time
人事实习生,上海才众餐饮管理有限公司,上海·徐汇区,上海,徐汇区,150元/天,150,150,元/天,,校招/应届,0,无需经验,本科,前程无忧,171203900,实习,https://jobs.51job.com/shanghai-xhq/171203900.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"【工作内容】
- 协助完成日常人事事务，包括员工档案管理、考勤记录及入职离职手续办理；
- 支持招聘活动的开展，如简历筛选、面试安排及信息录入；
- 参与员工培训及企业文化相关活动的组织与协调；
- 协助完成部门内部的数据整理与报表制作。
【任职要求】
- 本科在读学生，人力资源管理、行政管理或相关专业优先；
- 具备良好的沟通能力和团队协作精神；
- 熟练使用Office办公软件，具备基础的数据处理能力；
- 工作认真细致，责任心强，能承受一定工作压力。
无需经验；本科；员工培训","- 协助完成日常人事事务，包括员工档案管理、考勤记录及入职离职手续办理；
- 支持招聘活动的开展，如简历筛选、面试安排及信息录入；
- 参与员工培训及企业文化相关活动的组织与协调；
- 协助完成部门内部的数据整理与报表制作。","- 本科在读学生，人力资源管理、行政管理或相关专业优先；
- 具备良好的沟通能力和团队协作精神；
- 熟练使用Office办公软件，具备基础的数据处理能力；
- 工作认真细致，责任心强，能承受一定工作压力。
无需经验；本科；员工培训",无需经验|本科|员工培训,无需经验|本科|员工培训,物业管理/商业中心,,500-1000人,无需经验|本科|员工培训,2026-03-23 14:25:24,2026-03-25 19:45:59
授薪律师、律师助理及实习生,北京大成（上海）律师事务所,上海·浦东新区,上海,浦东新区,2-4万,2,4,,,校招/应届,0,1-3年,本科,前程无忧,150289658,实习,https://jobs.51job.com/shanghai-pdxq/150289658.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"北京大成（上海）律师事务所
招聘职位：授薪律师、律师助理及实习生
团队简介：
林兢律师团队主要业务领域包括境内外上市(包括首次公开发行、借壳及SPAC)及再融资、上市公司收购兼并及重大资产重组、上市公司及非上市公司的破产预重整、重整及清算、公司治理及股权激励、ESG合规、网络安全及数据合规、高净值客户财富管理与家族传承、家族信托设计与搭建、民商事及家事纠纷解决、跨境争议解决、私募股权投资及企业上市前的改制、重组及红筹架构搭建。
林兢律师为大成资本市场专业委员会联合牵头人兼理事及内核委员，大成资本市场行业委员会、科技、媒体和通讯（TMT）行业委员会及环境与能源自然资源委员会理事，2025年知名国际法律媒体The Legal 500 资本市场“特别推荐律师”、2016年~2021年 “LEGAL BAND中国***律师排行榜”-“证券与资本市场”杰出律师（连续五年），团队近年来参与了大量的在香港、深圳、上海、美国的证券交易所的股票和债券的公开发行和上市、定向增发、破产预重整及重整，在财富管理与家族传承领域，林律师近年来参与了大量的财富传承相关的家办、信托（含离岸信托）、私募（含离岸基金设立）及企业资本运作和上市融资业务，在家族信托和联合家办服务等多个资产管理和财富传承项目中提供过专业的法律服务。
工作地点：上海
岗位要求：
1. 知*法学院校法学本科或以上学历；
2. 授薪律师、律师助理岗位：
1-3年红圈所相关工作经验或英语能作为工作语言或擅长跨境法律业务（海外上市及财富管理与家族传承）或对律师新媒体（视频号、抖音、公众号等）运营有经验和特长的候选人优先；
实习生岗位：
在校获二等以上奖学金或担任校内职位特别是对法律新媒体（视频号、抖音、公众号等）运营有经验和特长的法学专业候选人优先；
3. 有志于律师为终身职业，勇于接受AI大模型、数据合规等新型业务挑战，有志成为未来的团队合伙人；
4. 实习生需可满足连续2-3个月全职实习，能力表现突出的毕业后有正式录用机会。
薪资待遇： 面谈，从优。本招聘信息长期有效。
联系方式：有意者请将简历发送至：*
1-3年；本科；律师助理；全职；实习证明；周末双休；专业培训；节日福利；时间自由；下午茶；全勤","北京大成（上海）律师事务所
招聘职位:授薪律师、律师助理及实习生
团队简介:
林兢律师团队主要业务领域包括境内外上市(包括首次公开发行、借壳及SPAC)及再融资、上市公司收购兼并及重大资产重组、上市公司及非上市公司的破产预重整、重整及清算、公司治理及股权激励、ESG合规、网络安全及数据合规、高净值客户财富管理与家族传承、家族信托设计与搭建、民商事及家事纠纷解决、跨境争议解决、私募股权投资及企业上市前的改制、重组及红筹架构搭建。
林兢律师为大成资本市场专业委员会联合牵头人兼理事及内核委员，大成资本市场行业委员会、科技、媒体和通讯（TMT）行业委员会及环境与能源自然资源委员会理事，2025年知名国际法律媒体The Legal 500 资本市场“特别推荐律师”、2016年~2021年 “LEGAL BAND中国***律师排行榜”-“证券与资本市场”杰出律师（连续五年），团队近年来参与了大量的在香港、深圳、上海、美国的证券交易所的股票和债券的公开发行和上市、定向增发、破产预重整及重整，在财富管理与家族传承领域，林律师近年来参与了大量的财富传承相关的家办、信托（含离岸信托）、私募（含离岸基金设立）及企业资本运作和上市融资业务，在家族信托和联合家办服务等多个资产管理和财富传承项目中提供过专业的法律服务。
工作地点:上海","1. 知*法学院校法学本科或以上学历；
2. 授薪律师、律师助理岗位:
1-3年红圈所相关工作经验或英语能作为工作语言或擅长跨境法律业务（海外上市及财富管理与家族传承）或对律师新媒体（视频号、抖音、公众号等）运营有经验和特长的候选人优先；
实习生岗位:
在校获二等以上奖学金或担任校内职位特别是对法律新媒体（视频号、抖音、公众号等）运营有经验和特长的法学专业候选人优先；
3. 有志于律师为终身职业，勇于接受AI大模型、数据合规等新型业务挑战，有志成为未来的团队合伙人；
4. 实习生需可满足连续2-3个月全职实习，能力表现突出的毕业后有正式录用机会。
薪资待遇: 面谈，从优。本招聘信息长期有效。
联系方式:有意者请将简历发送至:*
1-3年；本科；律师助理；全职；实习证明；周末双休；专业培训；节日福利；时间自由；下午茶；全勤",1-3年|本科|律师助理|全职|实习证明|周末双休|专业培训|节日福利|时间自由|下午茶|全勤,1-3年|本科|律师助理|全职|实习证明|周末双休|专业培训|节日福利|时间自由|下午茶|全勤,法律,,500-1000人,1-3年|本科|律师助理|全职|实习证明|周末双休|专业培训|节日福利|时间自由|下午茶|全勤,2026-02-14 13:05:19,2026-03-25 19:45:59
法务实习生（青浦）,上海川土微电子股份有限公司,上海·青浦区,上海,青浦区,3-4千,3,4,,,校招/应届,0,无需经验,本科,前程无忧,169155878,实习,https://jobs.51job.com/shanghai-qpq/169155878.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"1、协助审核日常合同和相关法律文件；
2、协助合同管理，比如合同整理、扫描、归档等相关工作；
3、协助工商变更，比如工商变更资料准备、提交、跟进变更进程；
4、协助、协调公司其他部门或相关人员办理有关的法律事务；
5、其他日常交办工作。
岗位要求：
1、统招学校在读大四本科或在读研二、研三的硕士生，法学或法律相关专业；
2、法学基础知识扎实、逻辑性强，通过司法考试者优先；
3、能够熟练使用WORD、EXCEL等办公软件；
4、工作认真负责、思维严谨、有相关实习经验者优先。
无需经验；本科；办公软件；excel；word；合同管理；归档；法律；法学；扫描；司法考试；工商变更；五险一金；补充医疗保险；补充公积金；带薪年假；年终奖金；股票期权；定期体检；零食下午茶","1、协助审核日常合同和相关法律文件；
2、协助合同管理，比如合同整理、扫描、归档等相关工作；
3、协助工商变更，比如工商变更资料准备、提交、跟进变更进程；
4、协助、协调公司其他部门或相关人员办理有关的法律事务；
5、其他日常交办工作。","1、统招学校在读大四本科或在读研二、研三的硕士生，法学或法律相关专业；
2、法学基础知识扎实、逻辑性强，通过司法考试者优先；
3、能够熟练使用WORD、EXCEL等办公软件；
4、工作认真负责、思维严谨、有相关实习经验者优先。
无需经验；本科；办公软件；excel；word；合同管理；归档；法律；法学；扫描；司法考试；工商变更；五险一金；补充医疗保险；补充公积金；带薪年假；年终奖金；股票期权；定期体检；零食下午茶",无需经验|本科|办公软件|excel|word|合同管理|归档|法律|法学|扫描|司法考试|工商变更|五险一金|补充医疗保险|补充公积金|带薪年假|年终奖金|股票期权|定期体检|零食下午茶,无需经验|本科|办公软件|excel|word|合同管理|归档|法律|法学|扫描|司法考试|工商变更|五险一金|补充医疗保险|补充公积金|带薪年假|年终奖金|股票期权|定期体检|零食下午茶,电子技术/半导体/集成电路,,150-500人,无需经验|本科|办公软件|excel|word|合同管理|归档|法律|法学|扫描|司法考试|工商变更|五险一金|补充医疗保险|补充公积金|带薪年假|年终奖金|股票期权|定期体检|零食下午茶,2026-03-04 09:05:56,2026-03-25 19:45:59
HR实习生,荣昌生物制药（烟台）股份有限公司,上海,上海,,3千及以下,3,3,,,校招/应届,0,无需经验,本科,前程无忧,170773583,实习,https://jobs.51job.com/shanghai/170773583.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"岗位职责：
1.协助HRBP进行销售岗位的招聘，包括简历的筛选、初步沟通及邀约跟进；
2.协助组织员工的转正述职会议；
3.协助进行试用期流程的跟进处理，离职人员的辅助沟通记录；
4.其他领导交代的人力资源相关事项。
职位要求：
1.人力资源、生物医药等相关专业，本科及以上学历；
2.耐心，细致，善于沟通交流，有很好的执行力。
无需经验；本科；销售；招聘；人力资源；生物医药；简历筛选；邀约跟进；转正述职","1.协助HRBP进行销售岗位的招聘，包括简历的筛选、初步沟通及邀约跟进；
2.协助组织员工的转正述职会议；
3.协助进行试用期流程的跟进处理，离职人员的辅助沟通记录；
4.其他领导交代的人力资源相关事项。","1.人力资源、生物医药等相关专业，本科及以上学历；
2.耐心，细致，善于沟通交流，有很好的执行力。
无需经验；本科；销售；招聘；人力资源；生物医药；简历筛选；邀约跟进；转正述职",无需经验|本科|销售|招聘|人力资源|生物医药|简历筛选|邀约跟进|转正述职,无需经验|本科|销售|招聘|人力资源|生物医药|简历筛选|邀约跟进|转正述职,制药/生物工程,,1000-5000人,无需经验|本科|销售|招聘|人力资源|生物医药|简历筛选|邀约跟进|转正述职,2026-03-02 11:25:46,2026-03-25 19:45:59
外运华东-非贸物流-私人物品业务部实习生(J28940),中国外运华东有限公司,上海·浦东新区,上海,浦东新区,150元/天,150,150,元/天,,校招/应届,0,无需经验,本科,前程无忧,170035391,实习,https://jobs.51job.com/shanghai-pdxq/170035391.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"工作职责:
1、协助完成私人物品业务客户日常业务沟通；
2、协助完成私人物品业务现场操作；&nbsp;
3、协助完成业务资料归档工作。
任职资格:
1、全日制本科及以上学历；
2、CET 6级及以上，具备流利的英语听说读写能力；
持日语N4证书及以上，或具备日语听说读写能力的，优先考虑；
3、技能要求：熟练使用WPS办公软件，有较强的文档等制作能力；
4、素质要求：有较强的表达、组织及沟通能力；
5、有一定的抗压能力。
无需经验；本科；带薪年假；五险一金；定期体检；办公软件；cet6级","1、协助完成私人物品业务客户日常业务沟通；
2、协助完成私人物品业务现场操作；&nbsp;
3、协助完成业务资料归档工作。","1、全日制本科及以上学历；
2、CET 6级及以上，具备流利的英语听说读写能力；
持日语N4证书及以上，或具备日语听说读写能力的，优先考虑；
3、技能要求:熟练使用WPS办公软件，有较强的文档等制作能力；
4、素质要求:有较强的表达、组织及沟通能力；
5、有一定的抗压能力。
无需经验；本科；带薪年假；五险一金；定期体检；办公软件；cet6级",无需经验|本科|带薪年假|五险一金|定期体检|办公软件|cet6级,无需经验|本科|带薪年假|五险一金|定期体检|办公软件|cet6级,交通/运输/物流,,10000人以上,无需经验|本科|带薪年假|五险一金|定期体检|办公软件|cet6级,2025-12-29 11:55:15,2026-03-25 19:45:59
售后助理（实习生）(J10787),报喜鸟集团,上海·长宁区,上海,长宁区,150元/天,150,150,元/天,,校招/应届,0,无需经验,本科,前程无忧,169967954,实习,https://jobs.51job.com/shanghai-cnq/169967954.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"工作职责:
1、协助售后主管处理顾客投诉问题；
2、接听售后电话及报喜通上店铺售后消息；
3、售后货品的快递收发；
4、售后维修货品的跟进；
5、售后面辅料申请配发；
任职资格:
1、本科及以上学历，服装、面料专业，优先录取；
2、有一定的沟通能力；
3、会简单的EXCEL操作；
4、性格开朗，有耐心、仔细；
无需经验；本科；服装；提供住宿；excel；服装；面料；售后维修；快递收发；接听售后电话；处理顾客投诉","1、协助售后主管处理顾客投诉问题；
2、接听售后电话及报喜通上店铺售后消息；
3、售后货品的快递收发；
4、售后维修货品的跟进；
5、售后面辅料申请配发；","1、本科及以上学历，服装、面料专业，优先录取；
2、有一定的沟通能力；
3、会简单的EXCEL操作；
4、性格开朗，有耐心、仔细；
无需经验；本科；服装；提供住宿；excel；服装；面料；售后维修；快递收发；接听售后电话；处理顾客投诉",无需经验|本科|服装|提供住宿|excel|服装|面料|售后维修|快递收发|接听售后电话|处理顾客投诉,无需经验|本科|服装|提供住宿|excel|服装|面料|售后维修|快递收发|接听售后电话|处理顾客投诉,服装/纺织/皮革,,5000-10000人,无需经验|本科|服装|提供住宿|excel|服装|面料|售后维修|快递收发|接听售后电话|处理顾客投诉,2026-03-25 13:32:46,2026-03-25 19:45:59
法务实习生,上海找钢网信息科技股份有限公司,上海·嘉定区,上海,嘉定区,3千及以下,3,3,,,校招/应届,0,无需经验,本科,前程无忧,171252641,实习,https://jobs.51job.com/shanghai-jdq/171252641.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"一、职位概述：
我们正在寻找一位细致、负责且对法律实务充满热情的实习生加入法务团队。本岗位将为你提供在真实企业法务环境中深度实践的机会，全面接触合同管理、案件管理等核心法务职能，是夯实法律专业实践能力的理想起点。
二、主要职责：
1、合同管理支持：（1）协助进行日常合同的初审、形式审核与归档工作。（2）负责外区合同的整理、邮寄及物流跟踪，并更新合同管理台账。
2、诉讼案件系统管理：（1）协助将已结案或进行中的案件卷宗材料进行整理、扫描与电子化归档。（2）在法务诉讼管理系统中准确录入、更新案件基本信息、流程节点及文档。
3、综合法务支持：（1）协助处理部门内部行政事务，如文书撰写、资料检索、数据整理等。（2）完成法务同事交办的其他辅助性法律事务工作。
三、任职要求：
1、教育背景：国内外高校全日制本科及以上在校生，法学相关专业优先。
2、能力素质：（1）具备良好的法律文书阅读和理解能力，做事认真严谨，注重细节。（2）具备良好的沟通能力和团队协作意识，有责任心，能按时完成任务。
（3）具备一定的信息整理和归纳能力。
3、技能要求：熟练使用Office办公软件（Word, Excel, PowerPoint）。有基本的数据系统操作经验者更佳。
4、时间要求：能保证每周至少出勤3-4个工作日，持续实习3个月以上。近期到岗者优先。
5、你将获得：（1）深入了解企业法务日常工作流程与规范的宝贵机会。（2）在资深法务人员指导下，快速提升合同审查、案件管理等实务技能。（3）开阔法律职业视野，为未来职业生涯积累重要经验。（4）具有竞争力的实习津贴。
（5）公司出具的正式实习证明。
无需经验；本科；excel；行政；word；合同管理；归档；法律；powerpoint；数据整理；法学；法务；实习证明；津贴","一、职位概述:
我们正在寻找一位细致、负责且对法律实务充满热情的实习生加入法务团队。本岗位将为你提供在真实企业法务环境中深度实践的机会，全面接触合同管理、案件管理等核心法务职能，是夯实法律专业实践能力的理想起点。
二、主要职责:
1、合同管理支持:（1）协助进行日常合同的初审、形式审核与归档工作。（2）负责外区合同的整理、邮寄及物流跟踪，并更新合同管理台账。
2、诉讼案件系统管理:（1）协助将已结案或进行中的案件卷宗材料进行整理、扫描与电子化归档。（2）在法务诉讼管理系统中准确录入、更新案件基本信息、流程节点及文档。
3、综合法务支持:（1）协助处理部门内部行政事务，如文书撰写、资料检索、数据整理等。（2）完成法务同事交办的其他辅助性法律事务工作。","1、教育背景:国内外高校全日制本科及以上在校生，法学相关专业优先。
2、能力素质:（1）具备良好的法律文书阅读和理解能力，做事认真严谨，注重细节。（2）具备良好的沟通能力和团队协作意识，有责任心，能按时完成任务。
（3）具备一定的信息整理和归纳能力。
3、技能要求:熟练使用Office办公软件（Word, Excel, PowerPoint）。有基本的数据系统操作经验者更佳。
4、时间要求:能保证每周至少出勤3-4个工作日，持续实习3个月以上。近期到岗者优先。
5、你将获得:（1）深入了解企业法务日常工作流程与规范的宝贵机会。（2）在资深法务人员指导下，快速提升合同审查、案件管理等实务技能。（3）开阔法律职业视野，为未来职业生涯积累重要经验。（4）具有竞争力的实习津贴。
（5）公司出具的正式实习证明。
无需经验；本科；excel；行政；word；合同管理；归档；法律；powerpoint；数据整理；法学；法务；实习证明；津贴",无需经验|本科|excel|行政|word|合同管理|归档|法律|powerpoint|数据整理|法学|法务|实习证明|津贴,无需经验|本科|excel|行政|word|合同管理|归档|法律|powerpoint|数据整理|法学|法务|实习证明|津贴,互联网/电子商务,,1000-5000人,无需经验|本科|excel|行政|word|合同管理|归档|法律|powerpoint|数据整理|法学|法务|实习证明|津贴,2026-03-25 13:36:45,2026-03-25 19:45:59
科创服务部助理（实习生）,上海浦东科技创业中心,上海·浦东新区,上海,浦东新区,150元/天,150,150,元/天,,校招/应届,0,无需经验,本科,前程无忧,165730010,实习,https://jobs.51job.com/shanghai-pdxq/165730010.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"1、项目执行：参与科创、科普类活动的基础性事务及项目执行工作，包括前期信息收集筹备、活动策划及现场协调等，保障活动有序开展。
2、公众号运营编辑：协助项目组编撰及美化相关文案。
3、财务轮岗：具备相关专业背景且对财务感兴趣者，可有机会参与财务轮岗学习，协助完成基础财务工作。
4、其他工作任务：完成负责人交办的其他相关工作，灵活应对岗位多样化需求。
5、一个月到岗至少12天
6、招聘对象要求：在校生需为2027 届毕业生，社会人员需35岁以下
无需经验；本科；科创；科创服务","1、项目执行:参与科创、科普类活动的基础性事务及项目执行工作，包括前期信息收集筹备、活动策划及现场协调等，保障活动有序开展。
2、公众号运营编辑:协助项目组编撰及美化相关文案。
3、财务轮岗:具备相关专业背景且对财务感兴趣者，可有机会参与财务轮岗学习，协助完成基础财务工作。
4、其他工作任务:完成负责人交办的其他相关工作，灵活应对岗位多样化需求。
5、一个月到岗至少12天
6、招聘对象要求:在校生需为2027 届毕业生，社会人员需35岁以下
无需经验；本科；科创；科创服务",,无需经验|本科|科创|科创服务,无需经验|本科|科创|科创服务,非营利组织,,少于50人,无需经验|本科|科创|科创服务,2026-03-25 16:43:06,2026-03-25 19:45:59
实习生（破产清算方向）,上海市协力律师事务所,上海·浦东新区,上海,浦东新区,3千及以下,3,3,,,校招/应届,0,无需经验,本科,前程无忧,171261800,实习,https://jobs.51job.com/shanghai-pdxq/171261800.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"【业务领域】破产清算、争议解决、法律顾问
【工作内容】
1、协助处理破产清算、民商事诉讼案件工作；
2、协助处理日常法律顾问工作。
【任职要求】
1.在校生/应届生；
2.具有良好的职业道德；
3.思维逻辑缜密，做事细致认真；
4.具有责任心和良好的沟通协调和表达能力；
5.可尽快到岗。
无需经验；本科；法律顾问；破产清算；争议解决；全职；五险一金；实习补贴；薪资面议；节日福利","【业务领域】破产清算、争议解决、法律顾问
1、协助处理破产清算、民商事诉讼案件工作；
2、协助处理日常法律顾问工作。","1.在校生/应届生；
2.具有良好的职业道德；
3.思维逻辑缜密，做事细致认真；
4.具有责任心和良好的沟通协调和表达能力；
5.可尽快到岗。
无需经验；本科；法律顾问；破产清算；争议解决；全职；五险一金；实习补贴；薪资面议；节日福利",无需经验|本科|法律顾问|破产清算|争议解决|全职|五险一金|实习补贴|薪资面议|节日福利,无需经验|本科|法律顾问|破产清算|争议解决|全职|五险一金|实习补贴|薪资面议|节日福利,法律,,150-500人,无需经验|本科|法律顾问|破产清算|争议解决|全职|五险一金|实习补贴|薪资面议|节日福利,2026-03-25 17:00:29,2026-03-25 19:45:59
实习生,上海建邦自动化设备有限公司,上海·松江区,上海,松江区,4-6千,4,6,,,校招/应届,0,无需经验,本科,前程无忧,171256294,实习,https://jobs.51job.com/shanghai-sjq/171256294.html?s=sou_sou_soulb&t=0_0&req=40fa6715d1c0882b0eee5063e370b6fe,"【工作内容】
-根据实际情况，和现有岗位分配。
- 协助完成日常行政事务，包括文件整理、数据录入及会议安排等；
- 支持团队成员完成项目相关工作，协助收集和分析资料；
- 参与公司内部活动的组织与协调，提升团队协作效率；
- 学习并掌握公司业务流程，逐步承担更多职责。
【任职要求】
- 本科，专业不限，具备良好的学习能力和沟通能力；
- 熟练使用办公软件（如Word、Excel、PPT）；
- 工作认真细致，责任心强，具备良好的团队合作精神；
- 有相关实习经验者优先，但不限经验。
无需经验；本科","-根据实际情况，和现有岗位分配。
- 协助完成日常行政事务，包括文件整理、数据录入及会议安排等；
- 支持团队成员完成项目相关工作，协助收集和分析资料；
- 参与公司内部活动的组织与协调，提升团队协作效率；
- 学习并掌握公司业务流程，逐步承担更多职责。","- 本科，专业不限，具备良好的学习能力和沟通能力；
- 熟练使用办公软件（如Word、Excel、PPT）；
- 工作认真细致，责任心强，具备良好的团队合作精神；
- 有相关实习经验者优先，但不限经验。
无需经验；本科",无需经验|本科,无需经验|本科,贸易/进出口,,少于50人,无需经验|本科,2026-03-25 15:02:29,2026-03-25 19:45:59
